"{:calorie=>""Calorie Counter"", :kilojoule=>""Kilojoule Counter""}",,,,,,,,
Printable Diary forÿUnsraw,,,,,,,,
From:,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Show:,,,,,,,,
ÿFood Diary,,,,,,,,
ÿFood Notes,,,,,,,,
To:,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
ÿExercise Diary,,,,,,,,
ÿExercise notes,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
TOTAL:,"1,072",144g,27g,76g,0mg,205mg,15g,46g
27-Jan-11,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
"Seeds - Flax Seeds, 2 tablespoons",110,6g,8g,4g,0mg,0mg,0g,14g
"Trader Joe's Soy Protein Powder - Vanilla - Protein Powder, 1 scoops (33g)",60,1g,1g,13g,0mg,0mg,0g,0g
"Lettuce - Cos or romaine, raw, 5 leaf outer",24,5g,0g,2g,0mg,11mg,2g,3g
"Wheat bran - Crude, 0.13 cup",16,5g,0g,1g,0mg,0mg,0g,3g
Lunch,,,,,,,,
"Generic - Hijiki Salad, 2 oz",62,10g,0g,1g,0mg,0mg,7g,1g
"Mori-Nu - Silken Tofu Firm, 1 container (12 oz (84g about 1"" slice) ea.)",200,8g,10g,24g,0mg,120mg,0g,0g
"Produce - Granny Smith Apple, 1 med",60,22g,2g,0g,0mg,0mg,17g,5g
Dinner,,,,,,,,
"House Foods - Tofu (Medium Firm Regular), 0.88 container (13.5 oz (1"" slice) ea.)",236,4g,12g,28g,0mg,118mg,0g,0g
"Generic - Hijiki Salad, 2 oz",62,10g,0g,1g,0mg,0mg,7g,1g
"chili, 2/3 serving",184,38g,1g,10g,0mg,51mg,6g,11g
Snacks,,,,,,,,
"home made - oatmeal bar, 2 piece",120,0g,0g,8g,0mg,0mg,0g,0g
"Muscle Milk - Cytosport - 100% Whey Protein Powder - Chocolate, 1.13 scoop",158,3g,2g,30g,68mg,169mg,1g,1g
TOTAL:,"1,572",164g,41g,132g,68mg,469mg,40g,47g
28-Jan-11,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
"Seeds - Flax Seeds, 2 tablespoons",110,6g,8g,4g,0mg,0mg,0g,14g
"Trader Joe's Soy Protein Powder - Vanilla - Protein Powder, 1 scoops (33g)",60,1g,1g,13g,0mg,0mg,0g,0g
"Lettuce - Cos or romaine, raw, 5 leaf outer",24,5g,0g,2g,0mg,11mg,2g,3g
"Wheat bran - Crude, 0.13 cup",16,5g,0g,1g,0mg,0mg,0g,3g
Lunch,,,,,,,,
"Mori-Nu - Silken Tofu Firm, 1 container (12 oz (84g about 1"" slice) ea.)",200,8g,10g,24g,0mg,120mg,0g,0g
"Generic - Hijiki Salad, 2 oz",62,10g,0g,1g,0mg,0mg,7g,1g
"chili, 2/3 serving",184,38g,1g,10g,0mg,51mg,6g,11g
Dinner,,,,,,,,
"home made - sweet potato soup, 0.33 bowl",53,12g,0g,1g,0mg,21mg,0g,2g
"Kin No Tsubu Niowanatto - Natto, 1 package",100,7g,4g,8g,0mg,250mg,1g,4g
"Generic - Chinese Spinach, 2 cup",14,2g,0g,1g,0mg,10mg,0g,0g
"House Foods - Tofu (Medium Firm Regular), 0.25 container (13.5 oz (1"" slice) ea.)",68,1g,3g,8g,0mg,34mg,0g,0g
Snacks,,,,,,,,
"home made - oatmeal bar, 2 piece",120,0g,0g,8g,0mg,0mg,0g,0g
"Muscle Milk - Cytosport - 100% Whey Protein Powder - Chocolate, 1.25 scoop",175,4g,3g,34g,75mg,188mg,1g,1g
TOTAL:,"1,466",151g,35g,125g,75mg,685mg,17g,47g
29-Jan-11,,,,,,,,
FOODS,Calories,Carbs,Fat,Protein,Cholest,Sodium,Sugars,Fiber
Breakfast,,,,,,,,
"Generic - Grain Oatmeal Dry .5 Cup, 1 cup (39g dry)",280,52g,5g,10g,0mg,0mg,0g,8g
"Seeds - Flax Seeds, 2 tablespoons",110,6g,8g,4g,0mg,0mg,0g,14g
"Trader Joe's Soy Protein Powder - Vanilla - Protein Powder, 1 scoops (33g)",60,1g,1g,13g,0mg,0mg,0g,0g
"Lettuce - Cos or romaine, raw, 5 leaf outer",24,5g,0g,2g,0mg,11mg,2g,3g
"Wheat bran - Crude, 0.13 cup",16,5g,0g,1g,0mg,0mg,0g,3g
Lunch,,,,,,,,
"Generic - Hijiki Salad, 2 oz",62,10g,0g,1g,0mg,0mg,7g,1g
"Mori-Nu - Silken Tofu Firm, 1 container (12 oz (84g about 1"" slice) ea.)",200,8g,10g,24g,0mg,120mg,0g,0g
"home made - sweet potato soup, 1 bowl",160,35g,0g,3g,0mg,64mg,0g,6g
"Malt-O-Meal - Honey Nut Scooters, 0.5 cup",55,12g,1g,1g,0mg,105mg,5g,1g
Dinner,,,,,,,,
"chili, 1 serving",275,57g,1g,15g,0mg,77mg,9g,16g
"Pumpkin Seeds - Pumpkin Seeds, 1 tbsp",73,2g,6g,9g,0mg,3mg,0g,1g
"Brussels sprouts - Cooked, boiled, drained, without salt, 3.5 cup",197,39g,3g,14g,0mg,115mg,10g,14g
"Emerald Cove - Kombu, 3 piece 4""",30,6g,0g,0g,0mg,330mg,0g,0g
Snacks,,,,,,,,
"Produce - Granny Smith Apple, 0.33 med",20,7g,0g,0g,0mg,0mg,6g,2g
"Snirakiku - Roasted Black Sesame Seed, 2 TBS",60,2g,6g,2g,0mg,0mg,0g,2g
